,index,is_augmentation,drop_rate,es_patience,feature_maps,num_epochs,verbose,val_accuracy,train_accuracy,test_accuracy
0,20,False,0.4,5,32,25,False,0.6940000057220459,0.8537499904632568,0.6840000152587891
1,7,True,0.3,5,40,35,False,0.7020000219345093,0.9524999856948853,0.671999990940094
2,10,True,0.4,5,40,25,False,0.7179999947547913,0.8389999866485596,0.6679999828338623
3,21,False,0.4,5,32,35,False,0.7099999785423279,0.8867499828338623,0.6600000262260437
4,3,True,0.2,5,40,35,False,0.6520000100135803,0.9797499775886536,0.6600000262260437
5,6,True,0.3,5,40,25,False,0.6859999895095825,0.9387500286102295,0.6600000262260437
6,11,True,0.4,5,40,35,False,0.7059999704360962,0.8934999704360962,0.6600000262260437
7,16,False,0.3,5,32,25,False,0.6740000247955322,0.9172499775886536,0.6539999842643738
8,23,False,0.4,5,40,35,False,0.6899999976158142,0.9037500023841858,0.6520000100135803
9,5,True,0.3,5,32,35,False,0.6639999747276306,0.8287500143051147,0.6520000100135803
10,9,True,0.4,5,32,35,False,0.6880000233650208,0.8442500233650208,0.6480000019073486
11,14,False,0.2,5,40,25,False,0.628000020980835,0.9362499713897705,0.6399999856948853
12,4,True,0.3,5,32,25,False,0.6800000071525574,0.8742499947547913,0.6340000033378601
13,1,True,0.2,5,32,35,False,0.6679999828338623,0.9592499732971191,0.6340000033378601
14,17,False,0.3,5,32,35,False,0.6759999990463257,0.8815000057220459,0.6340000033378601
15,15,False,0.2,5,40,35,False,0.6600000262260437,0.9242500066757202,0.6340000033378601
16,12,False,0.2,5,32,25,False,0.6819999814033508,0.9304999709129333,0.6320000290870667
17,13,False,0.2,5,32,35,False,0.6859999895095825,0.9555000066757202,0.6320000290870667
18,18,False,0.3,5,40,25,False,0.722000002861023,0.9430000185966492,0.6299999952316284
19,8,True,0.4,5,32,25,False,0.6660000085830688,0.8162500262260437,0.6259999871253967
20,2,True,0.2,5,40,25,False,0.6480000019073486,0.9247499704360962,0.6200000047683716
21,22,False,0.4,5,40,25,False,0.6480000019073486,0.8374999761581421,0.6100000143051147
22,19,False,0.3,5,40,35,False,0.6399999856948853,0.9244999885559082,0.6060000061988831
23,0,True,0.2,5,32,25,False,0.6620000004768372,0.9022499918937683,0.6000000238418579
